Category,Overall corpus,Detik.com,,,Kompas.com,,,CNBCIndonesia,,,Jawapos,,,Tribun,,
,,Number of Articles,% of the corpus,% of the category in each media,Number of Articles,% of the corpus,% of the category in each media,Number of Articles,% of the corpus,% of the category in each media,Number of Articles,% of the corpus,% of the category in each media,Number of Articles,% of the corpus,% of the category in each media
Collected Articles,19667,12071,0.614,,2244,0.114,,4905,0.249,,125,0.006,,323,0.016,
Relevant Articles,17955,10934,0.609,0.906,2225,0.124,0.992,4350,0.242,0.887,125,0.007,1.00,321,0.018,0.994
Irrelevant Articles,1712,1137,0.664,0.094,18,0.011,0.008,555,0.324,0.113,0,0.000,0.00,2,0.001,0.006
Yearly distribution: filtered-for-relevant articles,,,,,,,,,,,,,,,,
2014,265,252,0.95,0.92,10,0.038,1.000,,,,,,,3,0.011,1.000
2015,363,333,0.92,0.88,25,0.069,1.000,,,,1,0.004,1.000,4,0.011,1.000
2016,294,274,0.93,0.85,12,0.041,1.000,,,,5,0.014,1.000,3,0.010,1.000
2017,378,327,0.87,0.91,42,0.111,1.000,,,,4,0.014,1.000,5,0.013,1.000
2018,432,359,0.83,0.89,51,0.118,1.000,2,0.005,0.250,11,0.029,1.000,9,0.021,1.000
2019,813,630,0.77,0.92,93,0.114,0.979,68,0.084,0.596,4,0.009,1.000,18,0.022,1.000
2020,1057,693,0.66,0.85,164,0.155,0.988,192,0.182,0.821,,,,8,0.008,1.000
2021,2106,1484,0.70,0.91,328,0.156,0.997,267,0.127,0.765,,,,27,0.013,1.000
2022,3861,2306,0.60,0.94,374,0.097,0.984,1089,0.282,0.929,1,0.000,1.000,91,0.024,1.000
2023,6514,2839,0.44,0.92,957,0.147,0.995,2488,0.382,0.903,87,0.023,1.000,143,0.022,1.000
2024,676,249,0.37,0.90,161,0.238,0.988,244,0.361,0.894,12,0.002,1.000,10,0.015,0.833
Proximity,,,,,,,,,,,,,,,,
Socially Distal,8398,4995,0.595,0.457,1200,0.143,0.539,2052,0.244,0.472,46,0.005,0.368,105,0.013,0.327
Socially Proximal,9557,5939,0.621,0.543,1025,0.107,0.461,2298,0.240,0.528,79,0.008,0.632,216,0.023,0.673
Spatially Distal,7850,4680,0.596,0.428,1149,0.146,0.516,1882,0.240,0.433,44,0.006,0.352,95,0.012,0.296
Spatially Proximal,10105,6254,0.619,0.572,1076,0.106,0.484,2468,0.244,0.567,81,0.008,0.648,226,0.022,0.704